CRASH DATE,NUMBER OF PERSONS INJURED
01/07/2025,0
01/07/2025,1
01/07/2025,0
01/07/2025,1
01/07/2025,0
01/07/2025,1
01/07/2025,0
01/07/2025,0
01/07/2025,0
01/07/2025,1
01/07/2025,1
01/07/2025,0
01/07/2025,1
01/07/2025,0
01/07/2025,0
01/07/2025,0
01/07/2025,1
01/07/2025,0
01/07/2025,2
01/07/2025,1
01/07/2025,1
01/07/2025,0
01/07/2025,1
01/07/2025,0
01/07/2025,0
01/07/2025,0
01/07/2025,0
01/07/2025,1
01/07/2025,0
01/07/2025,2
01/07/2025,0
01/07/2025,1
01/07/2025,0
01/07/2025,1
01/07/2025,0
01/07/2025,1
01/07/2025,0
01/07/2025,0
01/07/2025,0
01/07/2025,0
01/07/2025,1
01/07/2025,0
01/07/2025,0
01/07/2025,1
01/07/2025,0
01/07/2025,0
01/07/2025,0
01/07/2025,0
01/07/2025,0
01/07/2025,1
01/07/2025,0
01/07/2025,0
01/07/2025,1
01/07/2025,0
01/07/2025,0
01/07/2025,1
01/07/2025,0
01/07/2025,0
01/07/2025,1
01/07/2025,0
01/07/2025,0
01/07/2025,0
01/07/2025,0
01/07/2025,0
01/07/2025,1
01/07/2025,0
01/07/2025,0
01/07/2025,1
01/07/2025,1
01/07/2025,1
01/07/2025,1
01/07/2025,1
01/07/2025,1
01/07/2025,1
01/07/2025,1
01/07/2025,0
01/07/2025,1
01/07/2025,1
01/07/2025,1
01/08/2025,0
01/08/2025,0
01/08/2025,1
01/08/2025,1
01/08/2025,1
01/08/2025,0
01/08/2025,3
01/08/2025,2
01/08/2025,0
01/08/2025,0
01/08/2025,0
01/08/2025,4
01/08/2025,0
01/08/2025,0
01/08/2025,0
01/08/2025,2
01/08/2025,0
01/08/2025,0
01/08/2025,1
01/08/2025,0
01/08/2025,1
01/08/2025,0
01/08/2025,1
01/08/2025,1
01/08/2025,0
01/08/2025,0
01/08/2025,0
01/08/2025,0
01/08/2025,0
01/08/2025,0
01/08/2025,0
01/08/2025,0
01/08/2025,0
01/08/2025,1
01/08/2025,0
01/08/2025,1
01/08/2025,1
01/08/2025,1
01/08/2025,0
01/08/2025,1
01/08/2025,0
01/08/2025,0
01/08/2025,1
01/08/2025,1
01/08/2025,0
01/08/2025,0
01/08/2025,1
01/08/2025,1
01/08/2025,0
01/08/2025,2
01/08/2025,0
01/08/2025,6
01/08/2025,0
01/08/2025,0
01/08/2025,1
01/08/2025,1
01/08/2025,0
01/08/2025,1
01/08/2025,1
01/08/2025,0
01/08/2025,0
01/08/2025,0
01/08/2025,0
01/08/2025,0
01/08/2025,0
01/08/2025,1
01/08/2025,3
01/08/2025,1
01/08/2025,1
01/08/2025,1
01/08/2025,0
01/08/2025,1
01/08/2025,0
01/08/2025,1
01/08/2025,2
01/08/2025,1
01/08/2025,1
01/08/2025,1
01/08/2025,1
01/08/2025,1
01/08/2025,0
01/08/2025,0
01/08/2025,0
01/08/2025,0
01/08/2025,0
01/08/2025,0
01/08/2025,0
01/08/2025,0
01/08/2025,1
01/08/2025,0
01/08/2025,0
01/08/2025,0
01/08/2025,1
01/08/2025,0
01/08/2025,0
01/08/2025,0
01/08/2025,0
01/08/2025,0
01/08/2025,0
01/08/2025,1
01/08/2025,1
01/08/2025,1
01/08/2025,0
01/08/2025,0
01/08/2025,1
01/08/2025,0
01/08/2025,0
01/08/2025,0
01/08/2025,0
01/08/2025,1
01/08/2025,0
01/08/2025,1
01/08/2025,0
01/08/2025,2
01/08/2025,1
01/08/2025,1
01/08/2025,1
01/08/2025,0
01/08/2025,0
01/08/2025,0
01/08/2025,1
01/08/2025,0
01/08/2025,0
01/08/2025,0
01/08/2025,0
01/08/2025,1
01/08/2025,1
01/08/2025,0
01/08/2025,0
01/08/2025,0
01/08/2025,0
01/08/2025,2
01/08/2025,0
01/08/2025,0
01/08/2025,5
01/08/2025,0
01/08/2025,1
01/08/2025,0
01/08/2025,1
01/08/2025,0
01/08/2025,0
01/08/2025,0
01/08/2025,0
01/08/2025,0
01/08/2025,0
01/08/2025,0
01/08/2025,1
01/08/2025,0
01/08/2025,0
01/08/2025,2
01/08/2025,1
01/08/2025,1
01/08/2025,1
01/08/2025,1
01/08/2025,0
01/08/2025,0
01/08/2025,1
01/08/2025,0
01/08/2025,0
01/08/2025,0
01/08/2025,0
01/08/2025,2
01/08/2025,0
01/08/2025,0
01/08/2025,1
01/08/2025,1
01/08/2025,0
01/08/2025,1
01/08/2025,2
01/08/2025,0
01/08/2025,0
01/08/2025,1
01/08/2025,3
01/08/2025,0
01/08/2025,0
01/08/2025,1
01/08/2025,0
01/08/2025,0
01/08/2025,1
01/08/2025,0
01/08/2025,0
01/08/2025,1
01/08/2025,1
01/08/2025,1
01/08/2025,1
01/08/2025,1
01/08/2025,0
01/08/2025,1
01/08/2025,0
01/08/2025,3
01/08/2025,0
01/08/2025,1
01/08/2025,0
01/08/2025,0
01/08/2025,0
01/08/2025,1
01/08/2025,0
01/08/2025,1
01/08/2025,0
01/08/2025,2
01/08/2025,0
01/08/2025,0
01/08/2025,0
01/08/2025,0
01/08/2025,0
01/08/2025,1
01/08/2025,0
01/08/2025,1
01/08/2025,0
01/09/2025,1
01/09/2025,1
01/09/2025,0
01/09/2025,0
01/09/2025,1
01/09/2025,0
01/09/2025,2
01/09/2025,1
01/09/2025,1
01/09/2025,0
01/09/2025,0
01/09/2025,0
01/09/2025,1
01/09/2025,6
01/09/2025,0
01/09/2025,2
01/09/2025,1
01/09/2025,1
01/09/2025,0
01/09/2025,0
01/09/2025,0
01/09/2025,1
01/09/2025,0
01/09/2025,0
01/09/2025,0
01/09/2025,0
01/09/2025,1
01/09/2025,0
01/09/2025,1
01/09/2025,0
01/09/2025,1
01/09/2025,2
01/09/2025,0
01/09/2025,0
01/09/2025,1
01/09/2025,2
01/09/2025,0
01/09/2025,1
01/09/2025,0
01/09/2025,0
01/09/2025,0
01/09/2025,0
01/09/2025,0
01/09/2025,0
01/09/2025,0
01/09/2025,1
01/09/2025,0
01/09/2025,0
01/09/2025,0
01/09/2025,0
01/09/2025,1
01/09/2025,0
01/09/2025,0
01/09/2025,0
01/09/2025,0
01/09/2025,1
01/09/2025,0
01/09/2025,0
01/09/2025,1
01/09/2025,0
01/09/2025,0
01/09/2025,0
01/09/2025,3
01/09/2025,1
01/09/2025,1
01/09/2025,1
01/09/2025,0
01/09/2025,0
01/09/2025,1
01/09/2025,1
01/09/2025,0
01/09/2025,1
01/09/2025,0
01/09/2025,0
01/09/2025,0
01/09/2025,3
01/09/2025,1
01/09/2025,0
01/09/2025,1
01/09/2025,0
01/09/2025,1
01/09/2025,0
01/09/2025,0
01/09/2025,1
01/09/2025,0
01/09/2025,3
01/09/2025,1
01/09/2025,0
01/09/2025,0
01/09/2025,0
01/09/2025,2
01/09/2025,0
01/09/2025,0
01/09/2025,1
01/09/2025,1
01/09/2025,1
01/09/2025,0
01/09/2025,3
01/09/2025,0
01/09/2025,0
01/09/2025,0
01/09/2025,0
01/09/2025,0
01/09/2025,0
01/09/2025,1
01/09/2025,0
01/09/2025,1
01/09/2025,0
01/09/2025,4
01/09/2025,2
01/09/2025,0
01/09/2025,0
01/09/2025,0
01/09/2025,0
01/09/2025,0
01/09/2025,0
01/09/2025,0
01/09/2025,0
01/09/2025,1
01/09/2025,4
01/09/2025,1
01/09/2025,0
01/09/2025,0
01/09/2025,0
01/09/2025,0
01/09/2025,0
01/09/2025,0
01/09/2025,1
01/09/2025,1
01/09/2025,1
01/09/2025,0
01/09/2025,1
01/09/2025,0
01/09/2025,1
01/09/2025,1
01/09/2025,0
01/09/2025,1
01/09/2025,0
01/09/2025,0
01/09/2025,0
01/09/2025,1
01/09/2025,1
01/09/2025,1
01/09/2025,1
01/09/2025,1
01/09/2025,1
01/09/2025,1
01/09/2025,2
01/09/2025,0
01/09/2025,0
01/09/2025,1
01/09/2025,1
01/09/2025,0
01/09/2025,0
01/09/2025,0
01/09/2025,3
01/09/2025,0
01/09/2025,3
01/09/2025,2
01/09/2025,1
01/09/2025,1
01/09/2025,0
01/09/2025,2
01/09/2025,1
01/09/2025,1
01/09/2025,0
01/09/2025,1
01/09/2025,1
01/09/2025,1
01/09/2025,0
01/09/2025,1
01/09/2025,1
01/09/2025,1
01/09/2025,0
01/09/2025,2
01/09/2025,0
01/09/2025,1
01/09/2025,1
01/09/2025,0
01/09/2025,0
01/09/2025,1
01/09/2025,1
01/09/2025,0
01/09/2025,0
01/09/2025,0
